"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"09/01/2024 20:00 - 09/01/2024 21:00","Norway (NO)","22053.78","21975.08"
"09/01/2024 21:00 - 09/01/2024 22:00","Norway (NO)","21884.03","21723.85"
"09/01/2024 22:00 - 09/01/2024 23:00","Norway (NO)","21382.26","21387.28"
"09/01/2024 23:00 - 10/01/2024 00:00","Norway (NO)","20882.00","20665.04"
"10/01/2024 00:00 - 10/01/2024 01:00","Norway (NO)","20143.14","20334.94"
"10/01/2024 01:00 - 10/01/2024 02:00","Norway (NO)","19757.27","20112.48"
"10/01/2024 02:00 - 10/01/2024 03:00","Norway (NO)","19597.30","19767.32"
"10/01/2024 03:00 - 10/01/2024 04:00","Norway (NO)","19724.41","19489.80"
"10/01/2024 04:00 - 10/01/2024 05:00","Norway (NO)","19582.13","19696.86"
"10/01/2024 05:00 - 10/01/2024 06:00","Norway (NO)","19897.82","19844.47"
"10/01/2024 06:00 - 10/01/2024 07:00","Norway (NO)","20647.69","20961.81"
"10/01/2024 07:00 - 10/01/2024 08:00","Norway (NO)","22061.91","21811.90"
"10/01/2024 08:00 - 10/01/2024 09:00","Norway (NO)","22081.09","22393.16"
"10/01/2024 09:00 - 10/01/2024 10:00","Norway (NO)","21922.47","21960.58"
"10/01/2024 10:00 - 10/01/2024 11:00","Norway (NO)","21843.87","21898.93"
"10/01/2024 11:00 - 10/01/2024 12:00","Norway (NO)","21677.59","21800.59"
"10/01/2024 12:00 - 10/01/2024 13:00","Norway (NO)","21616.08","21671.02"
"10/01/2024 13:00 - 10/01/2024 14:00","Norway (NO)","21666.91","21531.86"
"10/01/2024 14:00 - 10/01/2024 15:00","Norway (NO)","21769.30","21807.59"
"10/01/2024 15:00 - 10/01/2024 16:00","Norway (NO)","22004.90","22007.79"
"10/01/2024 16:00 - 10/01/2024 17:00","Norway (NO)","22430.42","22094.31"
"10/01/2024 17:00 - 10/01/2024 18:00","Norway (NO)","22350.13","22225.10"
"10/01/2024 18:00 - 10/01/2024 19:00","Norway (NO)","22116.16","21968.17"
"10/01/2024 19:00 - 10/01/2024 20:00","Norway (NO)","22132.75","21790.87"
"10/01/2024 20:00 - 10/01/2024 21:00","Norway (NO)","21963.03","21847.62"
"10/01/2024 21:00 - 10/01/2024 22:00","Norway (NO)","21616.88","21586.00"
"10/01/2024 22:00 - 10/01/2024 23:00","Norway (NO)","21163.86","21097.05"
"10/01/2024 23:00 - 11/01/2024 00:00","Norway (NO)","20595.16","20516.04"
"11/01/2024 00:00 - 11/01/2024 01:00","Norway (NO)","19855.84","20043.29"
"11/01/2024 01:00 - 11/01/2024 02:00","Norway (NO)","19365.92","19785.52"
"11/01/2024 02:00 - 11/01/2024 03:00","Norway (NO)","19054.26","19339.03"
"11/01/2024 03:00 - 11/01/2024 04:00","Norway (NO)","18985.24","18954.71"
"11/01/2024 04:00 - 11/01/2024 05:00","Norway (NO)","18922.88","19004.78"
"11/01/2024 05:00 - 11/01/2024 06:00","Norway (NO)","19074.04","19046.69"
"11/01/2024 06:00 - 11/01/2024 07:00","Norway (NO)","20064.37","19893.36"
"11/01/2024 07:00 - 11/01/2024 08:00","Norway (NO)","21099.54","21161.06"
"11/01/2024 08:00 - 11/01/2024 09:00","Norway (NO)","21544.90","21138.79"
"11/01/2024 09:00 - 11/01/2024 10:00","Norway (NO)","21790.19","21385.68"
"11/01/2024 10:00 - 11/01/2024 11:00","Norway (NO)","21246.96","21573.51"
"11/01/2024 11:00 - 11/01/2024 12:00","Norway (NO)","21051.49","21152.23"
"11/01/2024 12:00 - 11/01/2024 13:00","Norway (NO)","21092.68","20897.75"
"11/01/2024 13:00 - 11/01/2024 14:00","Norway (NO)","20997.67","21029.65"
"11/01/2024 14:00 - 11/01/2024 15:00","Norway (NO)","20752.12","20977.10"
"11/01/2024 15:00 - 11/01/2024 16:00","Norway (NO)","20965.17","20827.27"
"11/01/2024 16:00 - 11/01/2024 17:00","Norway (NO)","21511.94","21233.91"
"11/01/2024 17:00 - 11/01/2024 18:00","Norway (NO)","21550.46","21359.31"
"11/01/2024 18:00 - 11/01/2024 19:00","Norway (NO)","21548.37","21312.78"
"11/01/2024 19:00 - 11/01/2024 20:00","Norway (NO)","21463.91","21349.86"
"11/01/2024 20:00 - 11/01/2024 21:00","Norway (NO)","21206.17","21113.61"
"11/01/2024 21:00 - 11/01/2024 22:00","Norway (NO)","20669.30","20785.29"
"11/01/2024 22:00 - 11/01/2024 23:00","Norway (NO)","20297.54","20147.22"
"11/01/2024 23:00 - 12/01/2024 00:00","Norway (NO)","19779.69","19823.59"
"12/01/2024 00:00 - 12/01/2024 01:00","Norway (NO)","19331.75","19262.68"
"12/01/2024 01:00 - 12/01/2024 02:00","Norway (NO)","18893.98","19202.71"
"12/01/2024 02:00 - 12/01/2024 03:00","Norway (NO)","18784.56","18936.73"
"12/01/2024 03:00 - 12/01/2024 04:00","Norway (NO)","18660.78","18703.96"
"12/01/2024 04:00 - 12/01/2024 05:00","Norway (NO)","18672.91","18663.69"
"12/01/2024 05:00 - 12/01/2024 06:00","Norway (NO)","19109.64","18939.34"
"12/01/2024 06:00 - 12/01/2024 07:00","Norway (NO)","20151.77","20072.34"
"12/01/2024 07:00 - 12/01/2024 08:00","Norway (NO)","21279.66","21184.04"
"12/01/2024 08:00 - 12/01/2024 09:00","Norway (NO)","21568.47","21681.76"
"12/01/2024 09:00 - 12/01/2024 10:00","Norway (NO)","21458.65","21532.02"
"12/01/2024 10:00 - 12/01/2024 11:00","Norway (NO)","21720.26","21417.28"
"12/01/2024 11:00 - 12/01/2024 12:00","Norway (NO)","21748.23","21522.60"
"12/01/2024 12:00 - 12/01/2024 13:00","Norway (NO)","21548.42","21471.36"
"12/01/2024 13:00 - 12/01/2024 14:00","Norway (NO)","21415.68","21324.23"
"12/01/2024 14:00 - 12/01/2024 15:00","Norway (NO)","21424.22","21247.76"
"12/01/2024 15:00 - 12/01/2024 16:00","Norway (NO)","21569.29","21409.36"
"12/01/2024 16:00 - 12/01/2024 17:00","Norway (NO)","21668.89","21520.62"
"12/01/2024 17:00 - 12/01/2024 18:00","Norway (NO)","21377.89","21400.95"
"12/01/2024 18:00 - 12/01/2024 19:00","Norway (NO)","21224.34","21090.73"
"12/01/2024 19:00 - 12/01/2024 20:00","Norway (NO)","20879.66","20931.92"
"12/01/2024 20:00 - 12/01/2024 21:00","Norway (NO)","20436.31","20387.08"
"12/01/2024 21:00 - 12/01/2024 22:00","Norway (NO)","20119.63","19968.62"
"12/01/2024 22:00 - 12/01/2024 23:00","Norway (NO)","19821.29","19741.29"
"12/01/2024 23:00 - 13/01/2024 00:00","Norway (NO)","19594.03","19346.96"
"13/01/2024 00:00 - 13/01/2024 01:00","Norway (NO)","19165.11","19194.22"
"13/01/2024 01:00 - 13/01/2024 02:00","Norway (NO)","18466.48","18971.73"
"13/01/2024 02:00 - 13/01/2024 03:00","Norway (NO)","18356.13","18521.12"
"13/01/2024 03:00 - 13/01/2024 04:00","Norway (NO)","18280.88","18189.07"
"13/01/2024 04:00 - 13/01/2024 05:00","Norway (NO)","17985.00","18140.13"
"13/01/2024 05:00 - 13/01/2024 06:00","Norway (NO)","18025.56","18022.08"
"13/01/2024 06:00 - 13/01/2024 07:00","Norway (NO)","18120.58","18230.05"
"13/01/2024 07:00 - 13/01/2024 08:00","Norway (NO)","18485.04","18424.88"
"13/01/2024 08:00 - 13/01/2024 09:00","Norway (NO)","19194.11","19039.05"
"13/01/2024 09:00 - 13/01/2024 10:00","Norway (NO)","19716.82","19666.07"
"13/01/2024 10:00 - 13/01/2024 11:00","Norway (NO)","20307.71","20110.50"
"13/01/2024 11:00 - 13/01/2024 12:00","Norway (NO)","20272.60","20332.20"
"13/01/2024 12:00 - 13/01/2024 13:00","Norway (NO)","20276.27","20159.34"
"13/01/2024 13:00 - 13/01/2024 14:00","Norway (NO)","20171.67","20126.19"
"13/01/2024 14:00 - 13/01/2024 15:00","Norway (NO)","20177.54","20075.05"
"13/01/2024 15:00 - 13/01/2024 16:00","Norway (NO)","20397.09","20379.67"
"13/01/2024 16:00 - 13/01/2024 17:00","Norway (NO)","20688.98","20681.79"
"13/01/2024 17:00 - 13/01/2024 18:00","Norway (NO)","20960.95","20654.21"
"13/01/2024 18:00 - 13/01/2024 19:00","Norway (NO)","21224.56","20695.93"
"13/01/2024 19:00 - 13/01/2024 20:00","Norway (NO)","20823.89","20630.26"
"13/01/2024 20:00 - 13/01/2024 21:00","Norway (NO)","20131.41","20268.61"
"13/01/2024 21:00 - 13/01/2024 22:00","Norway (NO)","19598.17","19783.70"
"13/01/2024 22:00 - 13/01/2024 23:00","Norway (NO)","19344.17","19341.43"
