"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"10/01/2024 19:00 - 10/01/2024 20:00","Sweden (SE)","21322.00","20878.00"
"10/01/2024 20:00 - 10/01/2024 21:00","Sweden (SE)","20906.00","20251.00"
"10/01/2024 21:00 - 10/01/2024 22:00","Sweden (SE)","20379.00","19538.00"
"10/01/2024 22:00 - 10/01/2024 23:00","Sweden (SE)","19593.00","18777.00"
"10/01/2024 23:00 - 11/01/2024 00:00","Sweden (SE)","18728.00","18029.00"
"11/01/2024 00:00 - 11/01/2024 01:00","Sweden (SE)","18219.00","17283.00"
"11/01/2024 01:00 - 11/01/2024 02:00","Sweden (SE)","17600.00","16992.00"
"11/01/2024 02:00 - 11/01/2024 03:00","Sweden (SE)","17677.00","16908.00"
"11/01/2024 03:00 - 11/01/2024 04:00","Sweden (SE)","17992.00","16851.00"
"11/01/2024 04:00 - 11/01/2024 05:00","Sweden (SE)","18057.00","17010.00"
"11/01/2024 05:00 - 11/01/2024 06:00","Sweden (SE)","18717.00","17699.00"
"11/01/2024 06:00 - 11/01/2024 07:00","Sweden (SE)","20067.00","19116.00"
"11/01/2024 07:00 - 11/01/2024 08:00","Sweden (SE)","21495.00","20548.00"
"11/01/2024 08:00 - 11/01/2024 09:00","Sweden (SE)","21783.00","20840.00"
"11/01/2024 09:00 - 11/01/2024 10:00","Sweden (SE)","21176.00","20774.00"
"11/01/2024 10:00 - 11/01/2024 11:00","Sweden (SE)","20916.00","20707.00"
"11/01/2024 11:00 - 11/01/2024 12:00","Sweden (SE)","20986.00","20589.00"
"11/01/2024 12:00 - 11/01/2024 13:00","Sweden (SE)","20963.00","20499.00"
"11/01/2024 13:00 - 11/01/2024 14:00","Sweden (SE)","20592.00","20406.00"
"11/01/2024 14:00 - 11/01/2024 15:00","Sweden (SE)","21176.00","20406.00"
"11/01/2024 15:00 - 11/01/2024 16:00","Sweden (SE)","21321.00","20796.00"
"11/01/2024 16:00 - 11/01/2024 17:00","Sweden (SE)","21433.00","21173.00"
"11/01/2024 17:00 - 11/01/2024 18:00","Sweden (SE)","21355.00","21443.00"
"11/01/2024 18:00 - 11/01/2024 19:00","Sweden (SE)","21262.00","21141.00"
"11/01/2024 19:00 - 11/01/2024 20:00","Sweden (SE)","21039.00","20780.00"
"11/01/2024 20:00 - 11/01/2024 21:00","Sweden (SE)","20550.00","20225.00"
"11/01/2024 21:00 - 11/01/2024 22:00","Sweden (SE)","19889.00","19514.00"
"11/01/2024 22:00 - 11/01/2024 23:00","Sweden (SE)","19275.00","18723.00"
"11/01/2024 23:00 - 12/01/2024 00:00","Sweden (SE)","18712.00","17995.00"
"12/01/2024 00:00 - 12/01/2024 01:00","Sweden (SE)","18180.00","17508.00"
"12/01/2024 01:00 - 12/01/2024 02:00","Sweden (SE)","17945.00","17223.00"
"12/01/2024 02:00 - 12/01/2024 03:00","Sweden (SE)","17613.00","17105.00"
"12/01/2024 03:00 - 12/01/2024 04:00","Sweden (SE)","17262.00","17131.00"
"12/01/2024 04:00 - 12/01/2024 05:00","Sweden (SE)","17234.00","17274.00"
"12/01/2024 05:00 - 12/01/2024 06:00","Sweden (SE)","17962.00","17899.00"
"12/01/2024 06:00 - 12/01/2024 07:00","Sweden (SE)","19808.00","19435.00"
